Weekly New Jersey No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SNJ_DPG&f=W
23:30:33 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly New Jersey No. 2 Heating Oil Residential Price Dollars per Gallon
01/21/2013,4.113
01/14/2013,4.104
01/7/2013,4.105
12/31/2012,4.107
12/24/2012,4.078
12/17/2012,4.051
12/10/2012,4.08
12/3/2012,4.122
11/26/2012,4.1
11/19/2012,4.102
11/12/2012,4.147
11/5/2012,4.137
10/29/2012,4.123
10/22/2012,4.123
10/15/2012,4.109
10/8/2012,4.039
10/1/2012,4.047
03/19/2012,4.248
03/12/2012,4.246
03/5/2012,4.227
02/27/2012,4.256
02/20/2012,4.184
02/13/2012,4.155
02/6/2012,4.103
01/30/2012,4.084
01/23/2012,4.077
01/16/2012,4.089
01/9/2012,4.067
01/2/2012,3.958
12/26/2011,3.942
12/19/2011,3.972
12/12/2011,3.989
12/5/2011,4.005
11/28/2011,4.013
11/21/2011,4.053
11/14/2011,4.028
11/7/2011,3.962
10/31/2011,3.968
10/24/2011,3.908
10/17/2011,3.831
10/10/2011,3.802
10/3/2011,3.803
03/14/2011,3.912
03/7/2011,3.922
02/28/2011,3.837
02/21/2011,3.712
02/14/2011,3.656
02/7/2011,3.659
01/31/2011,3.623
01/24/2011,3.59
01/17/2011,3.556
01/10/2011,3.488
01/3/2011,3.479
12/27/2010,3.438
12/20/2010,3.376
12/13/2010,3.368
12/6/2010,3.341
11/29/2010,3.254
11/22/2010,3.256
11/15/2010,3.247
11/8/2010,3.185
11/1/2010,3.101
10/25/2010,3.087
10/18/2010,3.074
10/11/2010,3.044
10/4/2010,3.054
03/15/2010,3.081
03/8/2010,3.075
03/1/2010,3.061
02/22/2010,3.061
02/15/2010,2.983
02/8/2010,3
02/1/2010,3.036
01/25/2010,3.034
01/18/2010,3.103
01/11/2010,3.152
01/4/2010,3.053
12/28/2009,2.947
12/21/2009,2.9
12/14/2009,2.872
12/7/2009,2.893
11/30/2009,2.868
11/23/2009,2.865
11/16/2009,2.861
11/9/2009,2.876
11/2/2009,2.835
10/26/2009,2.836
10/19/2009,2.747
10/12/2009,2.643
10/5/2009,2.599
03/16/2009,2.176
03/9/2009,2.19
03/2/2009,2.253
02/23/2009,2.283
02/16/2009,2.363
02/9/2009,2.423
02/2/2009,2.488
01/26/2009,2.486
01/19/2009,2.507
01/12/2009,2.535
01/5/2009,2.41
12/29/2008,2.34
12/22/2008,2.417
12/15/2008,2.466
12/8/2008,2.497
12/1/2008,2.684
11/24/2008,2.765
11/17/2008,2.807
11/10/2008,2.942
11/3/2008,2.972
10/27/2008,3.051
10/20/2008,3.196
10/13/2008,3.337
10/6/2008,3.671
03/17/2008,3.971
03/10/2008,3.807
03/3/2008,3.687
02/25/2008,3.594
02/18/2008,3.52
02/11/2008,3.423
02/4/2008,3.45
01/28/2008,3.453
01/21/2008,3.473
01/14/2008,3.522
01/7/2008,3.549
12/31/2007,3.471
12/24/2007,3.454
12/17/2007,3.438
12/10/2007,3.349
12/3/2007,3.355
11/26/2007,3.353
11/19/2007,3.296
11/12/2007,3.29
11/5/2007,3.209
10/29/2007,3.03
10/22/2007,2.957
10/15/2007,2.886
10/8/2007,2.854
03/12/2007,2.581
03/5/2007,2.593
02/26/2007,2.575
02/19/2007,2.562
02/12/2007,2.555
02/5/2007,2.521
01/29/2007,2.43
01/22/2007,2.385
01/15/2007,2.394
01/8/2007,2.446
01/1/2007,2.496
12/25/2006,2.525
12/18/2006,2.53
12/11/2006,2.526
12/4/2006,2.522
11/27/2006,2.427
11/20/2006,2.421
11/13/2006,2.423
11/6/2006,2.417
10/30/2006,2.435
10/23/2006,2.432
10/16/2006,2.437
10/9/2006,2.439
10/2/2006,2.435
