Weekly Connecticut No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SCT_DPG&f=W
08:47:09 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly Connecticut No. 2 Heating Oil Residential Price Dollars per Gallon
12/16/1996,1.163
12/9/1996,1.162
12/2/1996,1.139
11/25/1996,1.135
11/18/1996,1.118
11/11/1996,1.11
11/4/1996,1.107
10/28/1996,1.107
10/21/1996,1.107
10/7/1996,1.073
03/18/1996,1.054
03/4/1996,1.056
02/19/1996,1.032
02/5/1996,1.009
01/15/1996,1.017
01/1/1996,0.987
12/18/1995,0.948
12/4/1995,0.909
11/20/1995,0.891
11/6/1995,0.871
10/16/1995,0.867
10/2/1995,0.867
03/20/1995,0.919
03/6/1995,0.916
02/20/1995,0.918
02/6/1995,0.915
01/16/1995,0.912
01/2/1995,0.904
12/19/1994,0.901
12/5/1994,0.894
11/21/1994,0.89
11/7/1994,0.883
10/17/1994,0.877
10/3/1994,0.878
03/21/1994,0.977
03/7/1994,0.999
02/28/1994,1.006
02/21/1994,1.006
02/14/1994,1.008
02/7/1994,0.99
01/31/1994,0.978
01/17/1994,0.961
01/3/1994,0.933
12/20/1993,0.946
12/6/1993,0.947
11/15/1993,0.96
11/1/1993,0.96
10/18/1993,0.958
10/4/1993,0.949
03/15/1993,1.013
03/1/1993,1.009
02/15/1993,1.009
02/1/1993,1.006
01/18/1993,1.002
01/4/1993,0.992
12/21/1992,0.988
12/7/1992,0.989
11/16/1992,0.99
11/2/1992,0.99
10/19/1992,0.983
10/5/1992,0.975
03/16/1992,0.971
03/2/1992,0.984
02/17/1992,0.985
02/3/1992,0.987
01/20/1992,0.976
01/6/1992,0.987
12/16/1991,1.019
12/2/1991,1.033
11/18/1991,1.037
11/4/1991,1.023
10/21/1991,1.007
10/7/1991,0.965
03/18/1991,1.105
03/4/1991,1.155
02/18/1991,1.216
02/4/1991,1.24
01/21/1991,1.266
01/7/1991,1.254
12/17/1990,1.28
12/3/1990,1.331
11/19/1990,1.327
11/5/1990,1.355
10/15/1990,1.347
10/1/1990,1.285
