Weekly New York No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SNY_DPG&f=W
09:24:36 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly New York No. 2 Heating Oil Residential Price Dollars per Gallon
12/20/2010,3.441
12/13/2010,3.429
12/6/2010,3.392
11/29/2010,3.309
11/22/2010,3.302
11/15/2010,3.318
11/8/2010,3.281
11/1/2010,3.164
10/25/2010,3.159
10/18/2010,3.149
10/11/2010,3.13
10/4/2010,3.099
03/15/2010,3.086
03/8/2010,3.08
03/1/2010,3.066
02/22/2010,3.099
02/15/2010,3.037
02/8/2010,3.018
02/1/2010,3.051
01/25/2010,3.068
01/18/2010,3.109
01/11/2010,3.154
01/4/2010,3.046
12/28/2009,2.973
12/21/2009,2.938
12/14/2009,2.931
12/7/2009,2.947
11/30/2009,2.916
11/23/2009,2.917
11/16/2009,2.91
11/9/2009,2.926
11/2/2009,2.913
10/26/2009,2.885
10/19/2009,2.839
10/12/2009,2.742
10/5/2009,2.709
03/16/2009,2.393
03/9/2009,2.425
03/2/2009,2.447
02/23/2009,2.449
02/16/2009,2.525
02/9/2009,2.554
02/2/2009,2.576
01/26/2009,2.58
01/19/2009,2.587
01/12/2009,2.624
01/5/2009,2.532
12/29/2008,2.484
12/22/2008,2.597
12/15/2008,2.712
12/8/2008,2.716
12/1/2008,2.899
11/24/2008,2.908
11/17/2008,3.025
11/10/2008,3.101
11/3/2008,3.168
10/27/2008,3.242
10/20/2008,3.347
10/13/2008,3.503
10/6/2008,3.797
03/17/2008,3.942
03/10/2008,3.753
03/3/2008,3.655
02/25/2008,3.563
02/18/2008,3.54
02/11/2008,3.461
02/4/2008,3.461
01/28/2008,3.476
01/21/2008,3.476
01/14/2008,3.495
01/7/2008,3.524
12/31/2007,3.465
12/24/2007,3.418
12/17/2007,3.416
12/10/2007,3.398
12/3/2007,3.402
11/26/2007,3.407
11/19/2007,3.328
11/12/2007,3.322
11/5/2007,3.224
10/29/2007,3.051
10/22/2007,2.968
10/15/2007,2.889
10/8/2007,2.869
03/12/2007,2.586
03/5/2007,2.594
02/26/2007,2.579
02/19/2007,2.568
02/12/2007,2.576
02/5/2007,2.53
01/29/2007,2.5
01/22/2007,2.46
01/15/2007,2.484
01/8/2007,2.517
01/1/2007,2.534
12/25/2006,2.56
12/18/2006,2.558
12/11/2006,2.572
12/4/2006,2.566
11/27/2006,2.49
11/20/2006,2.482
11/13/2006,2.489
11/6/2006,2.478
10/30/2006,2.497
10/23/2006,2.509
10/16/2006,2.516
10/9/2006,2.534
10/2/2006,2.541
03/13/2006,2.554
03/6/2006,2.581
02/27/2006,2.56
02/20/2006,2.55
02/13/2006,2.582
02/6/2006,2.586
01/30/2006,2.6
01/23/2006,2.597
01/16/2006,2.581
01/9/2006,2.598
01/2/2006,2.6
12/26/2005,2.601
12/19/2005,2.603
12/12/2005,2.591
12/5/2005,2.585
11/28/2005,2.58
11/21/2005,2.604
11/14/2005,2.615
11/7/2005,2.649
10/31/2005,2.712
10/24/2005,2.728
10/17/2005,2.767
10/10/2005,2.75
10/3/2005,2.809
03/14/2005,2.25
03/7/2005,2.222
02/28/2005,2.195
02/21/2005,2.137
02/14/2005,2.147
02/7/2005,2.173
01/31/2005,2.211
01/24/2005,2.167
01/17/2005,2.147
01/10/2005,2.149
01/3/2005,2.145
12/27/2004,2.16
12/20/2004,2.177
12/13/2004,2.157
12/6/2004,2.144
11/29/2004,2.214
11/22/2004,2.206
11/15/2004,2.207
11/8/2004,2.181
11/1/2004,2.205
10/25/2004,2.199
10/18/2004,2.129
10/11/2004,2.049
10/4/2004,1.944
03/15/2004,1.706
03/8/2004,1.715
03/1/2004,1.719
02/23/2004,1.72
02/16/2004,1.73
02/9/2004,1.737
02/2/2004,1.746
01/26/2004,1.746
01/19/2004,1.723
01/12/2004,1.703
01/5/2004,1.628
12/29/2003,1.626
12/22/2003,1.619
12/15/2003,1.58
12/8/2003,1.552
12/1/2003,1.535
11/24/2003,1.535
11/17/2003,1.524
11/10/2003,1.504
11/3/2003,1.495
10/27/2003,1.509
10/20/2003,1.504
10/13/2003,1.519
10/6/2003,1.493
03/17/2003,1.933
03/10/2003,1.991
03/3/2003,1.966
02/24/2003,1.871
02/17/2003,1.833
02/10/2003,1.811
02/3/2003,1.65
01/27/2003,1.623
01/20/2003,1.589
01/13/2003,1.571
01/6/2003,1.557
12/30/2002,1.539
12/23/2002,1.498
12/16/2002,1.464
12/9/2002,1.43
12/2/2002,1.418
11/25/2002,1.413
11/18/2002,1.403
11/11/2002,1.407
11/4/2002,1.413
10/28/2002,1.407
10/21/2002,1.405
10/14/2002,1.403
10/7/2002,1.388
03/18/2002,1.335
03/11/2002,1.318
03/4/2002,1.267
02/25/2002,1.264
02/18/2002,1.263
02/11/2002,1.262
02/4/2002,1.27
01/28/2002,1.264
01/21/2002,1.264
01/14/2002,1.282
01/7/2002,1.296
12/31/2001,1.289
12/24/2001,1.277
12/17/2001,1.272
12/10/2001,1.274
12/3/2001,1.276
11/26/2001,1.28
11/19/2001,1.283
11/12/2001,1.303
11/5/2001,1.313
10/29/2001,1.343
10/22/2001,1.34
10/15/2001,1.348
10/8/2001,1.352
10/1/2001,1.366
03/19/2001,1.565
03/12/2001,1.586
03/5/2001,1.601
02/26/2001,1.611
02/19/2001,1.625
02/12/2001,1.64
02/5/2001,1.644
01/29/2001,1.674
01/22/2001,1.682
01/15/2001,1.686
01/8/2001,1.702
01/1/2001,1.71
12/25/2000,1.711
12/18/2000,1.715
12/11/2000,1.733
12/4/2000,1.727
11/27/2000,1.715
11/20/2000,1.69
11/13/2000,1.65
11/6/2000,1.648
10/30/2000,1.65
10/23/2000,1.652
10/16/2000,1.674
10/9/2000,1.614
10/2/2000,1.608
03/20/2000,1.53
03/13/2000,1.555
03/6/2000,1.558
02/28/2000,1.579
02/21/2000,1.636
02/14/2000,1.777
02/7/2000,2.123
01/31/2000,1.852
01/24/2000,1.775
01/17/2000,1.331
01/3/2000,1.282
12/20/1999,1.26
12/6/1999,1.249
11/15/1999,1.197
11/1/1999,1.157
10/18/1999,1.143
10/4/1999,1.137
03/15/1999,1.017
03/1/1999,1.02
02/15/1999,1.025
02/1/1999,1.031
01/18/1999,1.029
01/4/1999,1.021
12/21/1998,1.022
12/7/1998,1.023
11/16/1998,1.028
11/2/1998,1.029
10/19/1998,1.029
10/5/1998,1.021
03/16/1998,1.118
03/2/1998,1.129
02/16/1998,1.143
02/2/1998,1.15
01/19/1998,1.153
01/5/1998,1.155
12/15/1997,1.154
12/1/1997,1.155
11/17/1997,1.152
11/3/1997,1.145
10/20/1997,1.141
10/6/1997,1.133
03/17/1997,1.238
03/3/1997,1.268
02/17/1997,1.274
02/3/1997,1.291
01/27/1997,1.298
01/20/1997,1.297
01/13/1997,1.303
01/6/1997,1.296
12/30/1996,1.299
12/23/1996,1.306
12/16/1996,1.295
12/9/1996,1.302
12/2/1996,1.282
11/25/1996,1.282
11/18/1996,1.275
11/11/1996,1.272
11/4/1996,1.276
10/28/1996,1.289
10/21/1996,1.291
10/7/1996,1.255
03/18/1996,1.2
03/4/1996,1.203
02/19/1996,1.191
02/5/1996,1.165
01/15/1996,1.18
01/1/1996,1.155
12/18/1995,1.113
12/4/1995,1.086
11/20/1995,1.072
11/6/1995,1.068
10/16/1995,1.057
10/2/1995,1.051
03/20/1995,1.082
03/6/1995,1.086
02/20/1995,1.089
02/6/1995,1.086
01/16/1995,1.083
01/2/1995,1.079
12/19/1994,1.071
12/5/1994,1.068
11/21/1994,1.055
11/7/1994,1.054
10/17/1994,1.051
10/3/1994,1.049
03/21/1994,1.081
03/7/1994,1.09
02/28/1994,1.09
02/21/1994,1.094
02/14/1994,1.093
02/7/1994,1.088
01/31/1994,1.065
01/17/1994,1.053
01/3/1994,1.038
12/20/1993,1.039
12/6/1993,1.047
11/15/1993,1.047
11/1/1993,1.044
10/18/1993,1.038
10/4/1993,1.034
03/15/1993,1.077
03/1/1993,1.077
02/15/1993,1.074
02/1/1993,1.074
01/18/1993,1.073
01/4/1993,1.073
12/21/1992,1.071
